# signature	operation	variant	strategy	primary_device	participating_devices	mapped_nodes	queue_depth	stages	tile_x	tile_y	tile_k	logical_partitions	overlap	low_precision	tolerance	queue_scale	stage_scale	tile_scale	overlap_ratio	partition_intensity	precision_mix
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	stem-conv3x3	accelerator-ddp	sharded	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0,opencl:Intel_R__OpenCL_HD_Graphics:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/control/queue#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0/scratchpad#p0	2	2	96	47	188	1	1	1	0.002	1.10197	1.17525	1.46848	0.549834	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	patch-proj	accelerator-ddp	sharded	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0,opencl:Intel_R__OpenCL_HD_Graphics:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/control/queue#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0/scratchpad#p0	2	2	192	192	192	1	1	1	0.002	1.10197	1.17525	1.46848	0.580052	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	attention-qkv	accelerator-ddp	sharded	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0,opencl:Intel_R__OpenCL_HD_Graphics:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/control/queue#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0/scratchpad#p0	2	2	192	192	192	1	1	1	0.002	1.10197	1.17525	1.46848	0.580052	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	attention-score-reduce	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	752	1	96	3	1	1	0.0015	1.10197	1.17525	1.46848	0.549834	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	mlp-up	accelerator-ddp	sharded	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0,opencl:Intel_R__OpenCL_HD_Graphics:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/control/queue#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0/scratchpad#p0	2	2	192	192	192	1	1	1	0.002	1.10197	1.17525	1.46848	0.580052	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	mlp-activation	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	752	1	96	3	1	1	0.00075	1.10197	1.17525	1.46848	0.549834	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	mlp-down	accelerator-ddp	sharded	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0,opencl:Intel_R__OpenCL_HD_Graphics:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/control/queue#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0#p0,opencl:Intel_R__OpenCL_HD_Graphics:0/compute/tile/0/scratchpad#p0	2	2	192	192	192	1	1	1	0.002	1.10197	1.17525	1.46848	0.580052	0.28905	0.622459
sample-inference|inference||4294967296|536870912|30000000000000.000|16|0|0|1|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|sample-inference|inference|auto_balanced|8|stem-conv3x3:convolution_2d:224:224|patch-proj:matmul:196:384:384|attention-qkv:matmul:196:384:384|attention-score-reduce:reduction:75264|mlp-up:matmul:196:768:384|mlp-activation:elementwise_map:150528|mlp-down:matmul:196:384:768|token-pool:reduction:75264	token-pool	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	752	1	96	3	1	1	0.0015	1.10197	1.17525	1.46848	0.549834	0.28905	0.622459
