# signature	operation	variant	strategy	primary_device	participating_devices	mapped_nodes	queue_depth	stages	tile_x	tile_y	tile_k	logical_partitions	overlap	low_precision	tolerance	queue_scale	stage_scale	tile_scale	overlap_ratio	partition_intensity	precision_mix
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	frame-pre-tonemap	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	640	1	80	3	0	0	0.0005	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	reactive-mask	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	640	1	80	3	0	0	0.0005	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	exposure-luma	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	640	1	80	3	0	0	0.0012	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	history-reconstruction	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	80	40	160	3	0	0	0.002	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	detail-sharpen	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	80	40	160	3	0	0	0.002	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	upscale-resolve	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	2	1	80	40	160	3	0	0	0.0015	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811|gaming-upscale-1080p|gaming|auto_balanced|7|frame-pre-tonemap:elementwise_map:921600|reactive-mask:elementwise_map:921600|exposure-luma:reduction:921600|history-reconstruction:convolution_2d:720:1280|detail-sharpen:convolution_2d:720:1280|upscale-resolve:resample_2d:720:1280:1080:1920|post-tonemap:elementwise_map:2073600	post-tonemap	single-device-balanced	single_device	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0	level-zero:level-zero-device-0:0/control/queue#p0,level-zero:level-zero-device-0:0/compute/tile/0#p0,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p0,level-zero:level-zero-device-0:0/control/queue#p1,level-zero:level-zero-device-0:0/compute/tile/0#p1,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p1,level-zero:level-zero-device-0:0/control/queue#p2,level-zero:level-zero-device-0:0/compute/tile/0#p2,level-zero:level-zero-device-0:0/compute/tile/0/scratchpad#p2	3	1	640	1	112	3	0	0	0.0005	1.10197	1.17525	1.25	0.336932	0.28905	0.377541
