# signature	device_uid	ratio	score
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811	level-zero:level-zero-device-0:0	0.770986	1604.79
gaming-upscale-1080p|gaming|gaming-fsr-like-720p-to-1080p|805306368|100663296|1200000000000.000|1|1|1|0|auto_balanced|host:0:16:8:16:0:0:16:0:256:16847327232:0:16847327232:0:0:256:256:2:1:17.2429:2.20347:0.217733:1.47879:1:1:1:1:1:1:1:0:1:166:344|level-zero:level-zero-device-0:0:64:16:64:64:1400:128:0:512:8589934592:0:8589934592:4194304:4194304:96:96:8:6:8.91795:8.86047:0.558333:3.51198:1:1:0:1:0:1:1:0:1:199:522|opencl:Intel_R__OpenCL:1:16:8:16:0:0:16:0:256:16847327232:0:16847327232:4194304:1310720:96:96:10:8:10.9447:10.1295:0.181415:1.31059:1:1:0:1:1:1:1:0:1:184:395|opencl:Intel_R__OpenCL_HD_Graphics:0:80:1:80:0:1300:80:0:32:6738927616:0:6738927616:5242880:2949120:96:96:10:8:10.9123:10.5423:0.390067:2.20148:1:1:0:1:0:1:1:0:1:328:811	opencl:Intel_R__OpenCL_HD_Graphics:0	0.229014	476.687
